spotify:artist:5CCwRZC6euC8Odo6y9X8jr	Rita Ora
spotify:artist:2YVF0Ou5zIc4mpgtLIlGN0	Robert Miles
spotify:artist:6UE7nl9mha6s8z0wFQFIZ2	Robyn
spotify:artist:1LBGR7XDjLl6koGwUthUEs	Rochelle Diamante
spotify:artist:68rXycYWowQvm6C5bv4Wg1	Rock Heroes
spotify:artist:1HT9k1ZSUL9IczSstOAgWJ	Roger Sanchez
spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY	Roxette
spotify:artist:54OEro9sWZ3mVfMdlz2CIt	Royal Deluxe
spotify:artist:5tIkXJTex4JY7cv9mmgAZx	Ruelle
spotify:artist:0mTfntDCCWRozUnyxpGf6E	Saigon
spotify:artist:5S6hjAxgxjsLylsTtMIimO	Saliva
spotify:artist:2wY79sveU1sp5g7SokKOiI	Sam Smith
spotify:artist:3NRFinRTEqUCfaTTZmk8ek	Savage Garden
spotify:artist:23ymPLjbtAMzTJS2qRtQ8Z	Sébastien Tellier
spotify:artist:4uKYbUZCaUr0KfiuOuIpRB	Selectracks Song Catalog
spotify:artist:6VX2R9L0O0d6qPvqGuIH7b	September
spotify:artist:6UocZe4AprSYBvmn3J0oqY	Shiny Toy Guns
spotify:artist:5WUlDfRSoLAfcVSX1WnrxN	Sia
spotify:artist:0NWLoTHkDz70WnSea4YhjA	Siamese Sex Show
spotify:artist:1IueXOQyABrMOprrzwQJWN	Sigala
spotify:artist:4TrraAsitQKl821DQY42cZ	Sigrid
spotify:artist:4iudEcmuPlYNdbP3e1bdn1	Silverchair
spotify:artist:1fa0cOhromAZdq2xRA4vv8	Simply Red
spotify:artist:2p1fiYHYiXz9qi0JJyxBzN	Skepta
spotify:artist:5HlXA01kcjssYDT7EoqUJF	Skunk Anansie
spotify:artist:7hJcb9fa4alzcOq3EaNPoG	Snoop Dogg
spotify:artist:6TsAG8Ve1icEC8ydeHm3C8	Snow Strippers
spotify:artist:6GMYJwaziB4ekv1Y6wCDWS	Soulja Boy
spotify:artist:5KDIH2gF0VpelTqyQS7udb	Staind
spotify:artist:21UJ7PRWb3Etgsu99f8yo8	Stereophonics
spotify:artist:77AiFEVeAVj2ORpC85QVJs	Steve Aoki
spotify:artist:7guDJrEfX3qb6FEbdPA5qi	Stevie Wonder
spotify:artist:2SrSdSvpminqmStGELCSNd	Stormzy
spotify:artist:1h6Cn3P4NGzXbaXidqURXs	Swedish House Mafia
spotify:artist:4OBJLual30L7gRl5UkeRcT	T.I.
spotify:artist:45dkTj5sMRSjrmBSBeiHym	Tate McRae
spotify:artist:06HL4z0CvFAxyc27GXpf02	Taylor Swift
spotify:artist:5JsdVATHNPE0XdMFMRoSuf	Texas
spotify:artist:46h3caIKtqPlEfRHuSdibg	The Beloved
spotify:artist:1tqZaCwM57UFKjWoYwMLrw	The Cardigans
spotify:artist:4fpTMHe34LC5t3h5ztK8qu	The Carters
spotify:artist:1GhPHrq36VKCY3ucVaZCfo	The Chemical Brothers
spotify:artist:0NbfKEOTQCcwd6o7wSDOHI	The Game
spotify:artist:2sil8z5kiy4r76CRTXxBCA	The Goo Goo Dolls
spotify:artist:0bZCak2tcRMY1dzEIuwF42	The Heavy
spotify:artist:67YNiSqhrx1P8oPvIIvbP5	The Lightning Seeds
spotify:artist:2NFrAuh8RQdQoS7iYFbckw	The Midnight
spotify:artist:5me0Irg2ANcsgc93uaYrpb	The Notorious B.I.G.
spotify:artist:4jcPxHNUKTVOyD2AFPZdRQ	The Phantoms
